max_depth	min_split	vminbucket	vcp	ganancia_promedio
6	10	5	-0.1	47176000
6	10	10	-0.1	47212000
6	10	5	-0.1	47176000
6	10	2	-0.1	47544000
6	10	2.5	0	46262000
6	10	3.33333333333333	0	46248000
6	10	5	0	45502000
6	10	10	0	45838000
6	10	5	0	45502000
6	10	2	0	46262000
6	20	5	-0.5	47280000
6	20	6.66666666666667	-0.5	47492000
6	20	10	-0.5	47212000
6	20	10	-0.5	47212000
6	20	5	-0.5	47280000
6	20	2	-0.5	47654000
6	20	5	-0.3	47280000
6	20	6.66666666666667	-0.3	47492000
6	20	10	-0.3	47212000
6	20	10	-0.3	47212000
6	20	5	-0.3	47280000
6	20	2	-0.3	47654000
6	20	5	-0.1	47280000
6	20	6.66666666666667	-0.1	47492000
6	20	10	-0.1	47212000
6	20	10	-0.1	47212000
6	20	5	-0.1	47280000
6	20	2	-0.1	47654000
6	20	5	0	45484000
6	20	6.66666666666667	0	45708000
6	20	10	0	45838000
6	20	10	0	45838000
6	20	5	0	45484000
6	20	2	0	46272000
6	40	10	-0.5	47250000
6	40	13.3333333333333	-0.5	46762000
6	40	20	-0.5	47862000
6	40	10	-0.5	47250000
6	40	5	-0.5	47442000
6	40	2	-0.5	47710000
6	40	10	-0.3	47250000
6	40	13.3333333333333	-0.3	46762000
6	40	20	-0.3	47862000
6	40	10	-0.3	47250000
6	40	5	-0.3	47442000
6	40	2	-0.3	47710000
6	40	10	-0.1	47250000
6	40	13.3333333333333	-0.1	46762000
6	40	20	-0.1	47862000
6	40	10	-0.1	47250000
6	40	5	-0.1	47442000
6	40	2	-0.1	47710000
6	40	10	0	41886000
6	40	13.3333333333333	0	41784000
6	40	20	0	38124000
6	40	10	0	41886000
6	40	5	0	41508000
6	40	2	0	46312000
6	80	20	-0.5	48170000
6	80	26.6666666666667	-0.5	47900000
6	80	40	-0.5	48758000
6	80	10	-0.5	47498000
6	80	5	-0.5	47626000
6	80	2	-0.5	47928000
6	80	20	-0.3	48170000
6	80	26.6666666666667	-0.3	47900000
6	80	40	-0.3	48758000
6	80	10	-0.3	47498000
6	80	5	-0.3	47626000
6	80	2	-0.3	47928000
